Title,Details,Director,Actors,Original Title,Summary,User Rating
Tibet’te Yedi Yıl,"2s 15dk | | | Macera | , | Biyografik | , | Dram",Yönetmen | Jean-Jacques Annaud,"Oyuncular:, Brad Pitt, ,, David Thewlis, ,, B.D. Wong","2s 15dk
                                        
                                            |
Macera,
                                                                                                                                                    
                                                                                Biyografik,
                                                                                                                                                    
                                                                                Dram",Avusturyalı bir dağcı olan Heinrich Harrer’ın Himalayalar’a tırmanma hedefi vardır. Dönemin faşist Alman yönetimi de dağcıyı bunun için desteklemekte ve dağcının giderlerini karşılamaktadır. Harrer 1939’da Almanlarla savaş halindeki İngilizler tarafından rehin alınır. Bir şekilde kaçmayı başarır ve Lhassa kentine ...,"4,3"
Amelie,"2s 0dk | | | Komedi | , | Fantastik | , | Romantik",Yönetmen | Jean-Pierre Jeunet,"Oyuncular:, Audrey Tautou, ,, Mathieu Kassovitz, ,, Rufus","2s 0dk
                                        
                                            |
Komedi,
                                                                                                                                                    
                                                                                Fantastik,
                                                                                                                                                    
                                                                                Romantik","Amelie, Ünlü Fransız yönetmen Jean-Pierre Jeunet’nin beş dalda Oscar’a aday gösterilen ve son on yılın en ses getiren yapımları arasında. Bu Fransız komedisi bizi genç ve özel bir kadınla tanışmaya davet ediyor; her daim hayat dolu, yaşama sevgi dolu gözlerle tanıklık eden ve sahip olduğu özel ışıltıyı her anında ...","4,3"
Temmuz’da,"1s 40dk | | | Macera | , | Komedi",Yönetmen | Fatih Akın,"Oyuncular:, Fatih Akın, ,, Moritz Bleibtreu, ,, Christiane Paul","1s 40dk
                                        
                                            |
Macera,
                                                                                                                                                    
                                                                                Komedi","Daniel bir öğretmendir. Kişiliğinin de getirileriyle hiçbir şekilde kendi öğrencileriyle yakın olmak istememektedir. Onun bakış açısından herkes kendi görevini bilmeli ve buna göre hareket etmektedir. Bir gün Juli ile tanışır. Juli, Daniel'e hayatının aşkını çok kısa bir süre içerisinde bulacağını söyler. Daniel ...","4,3"
Testere 2,1s 35dk | | | Korku,Yönetmen | Darren Lynn Bousman,"Oyuncular:, Tobin Bell, ,, Shawnee Smith, ,, Erik Knudsen","1s 35dk
                                        
                                            |
Korku","Testere 2, serinin ikinci filmi olarak, ilki kadar etkili görünüyor. Kendi uslubu ile son derece acımasız bir biçimde hayatın değerini gözler önüne sermeye çalışan seri katil Jigsaw bir yıl sonra yeniden geliyor. Yeni kurbanları ve dehşet bir zeka ürünü vahşet dolu oyunlar ile birlikte. Bir kez daha kurbanlar parçaları ...","4,3"
Boş Ev,"1s 30dk | | | Dram | , | Romantik",Yönetmen | Kim Ki-duk,"Oyuncular:, Lee Seung-yeon, ,, Sung-hyuk Moon","1s 30dk
                                        
                                            |
Dram,
                                                                                                                                                    
                                                                                Romantik","Tae-suk, motorsikletine atlayıp yollara düşen ve karşılaştığı boş apartman dairelerinde kendine başka hayatlar yaratan yalnız bir adamdır. Tatil gibi çeşitli nedenlerden ötürü evlerinden bir süre ayrı kalan insanları takip eden Tae-suk, onların bıraktığı boş evlere girip bir süreliğine burada misafir olmaktadır, bunun ...","4,3"
Doktor Strange,"1s 55dk | | | Macera | , | Fantastik",Yönetmen | Scott Derrickson,"Oyuncular:, Benedict Cumberbatch, ,, Chiwetel Ejiofor, ,, Tilda Swinton","1s 55dk
                                        
                                            |
Macera,
                                                                                                                                                    
                                                                                Fantastik","Başarılı cerrah Stephen Vincent Strange, geçirdiği bir trafik kazası sonucunda elindeki sinirler zarar görünce artık mesleğini yapamaz hale gelir. Tüm yaraları iyileştirebilen, Tibet'te yaşamakta olan Ancient One adlı büyücünün varlığını öğrenmesi onun için yeni bir umut olur. Tibet'e giden cerrah sandığından çok daha ...","4,0"
Süper Baba,1s 33dk | | | Komedi,Yönetmen | Dennis Dugan,"Oyuncular:, Adam Sandler, ,, Joey Lauren Adams, ,, Jon Stewart","1s 33dk
                                        
                                            |
Komedi","Sonny Koufax, hayatını rayına oturtmuş, orta yaşlarına ulaşmış, işinde fazlasıyla başarılı bir avukattır. Hayatındaki tek derdi ise güvendiği bir ilişkinin sonuna gelmiş olmasıdır. Sorumsuz tavırları nedeniyle sevgilisi tarafından terk edilen Koufax, sevgilisine artık sorumluluk duygusuna sahip olduğunu kanıtlamak ...","4,3"
X-Men: Geçmiş Günler Gelecek,"2s 12dk | | | Aksiyon | , | Bilim Kurgu",Yönetmen | Bryan Singer,"Oyuncular:, Hugh Jackman, ,, James McAvoy, ,, Michael Fassbender","2s 12dk
                                        
                                            |
Aksiyon,
                                                                                                                                                    
                                                                                Bilim Kurgu",Mutantlar soylarının tükenmemesi için zamanda yolculuk yapmak zorundadır zira gelecekte kamplara hapsedilmiş durumdadırlar. Sentinel'ler tarafından avlanıp öldürüldükleri için de nesilleri tükenmenin eşiğine gelmiştir. Mutantların soyunu kurtarabilmek için iki ezeli düşman Magneto ve Charles Xavier güçlerini birleştirirler. ...,"3,8"
Büyülü Çift,"2s 4dk | | | Komedi | , | Fantastik | , | Romantik",Yönetmen | James Mangold,"Oyuncular:, Hugh Jackman, ,, Meg Ryan, ,, Liev Schreiber","2s 4dk
                                        
                                            |
Komedi,
                                                                                                                                                    
                                                                                Fantastik,
                                                                                                                                                    
                                                                                Romantik","Kate ve Leopold yaşadıkları yüzyıllar arasındaki farklara rağmen birbirlerine çok yakışan iki insanlardır. Kadın 21. yüzyılın iş kadını prototipini başarıyla temsil ederken Leopold, 19. yüzyılın tipik düklerinden bir tanesidir. Kate'in erkek arkadaşı olan Stuart ise Leopold'ün soyundan gelmektedir. Bir tablo sayesinde ...","4,3"
Simpsonlar: Sinema Filmi,"1s 27dk | | | Macera | , | Animasyon | , | Komedi",Yönetmen | David Silverman,"Oyuncular:, Dan Castellaneta, ,, Julie Kavner, ,, Nancy Cartwright","1s 27dk
                                        
                                            |
Macera,
                                                                                                                                                    
                                                                                Animasyon,
                                                                                                                                                    
                                                                                Komedi",Simpsonlar çok kişi tarafından sevilen bir aile olarak bu kez sinema perdesinde izleyicisi ile buluşuyorlar. Homer yani ailenin en sakarı olarak ciddi boyutta bir soruna yol açıyor. Çalıştığı fabrikanın yakınlarında bulunan bir nehre zararlı bir takım maddelerin dökülmesine vesile olur. Haliyle işinden de kovulur. Ancak sebep ...,"4,3"
Masumiyet,1s 50dk | | | Dram,Yönetmen | Zeki Demirkubuz,"Oyuncular:, Güven Kıraç, ,, Haluk Bilginer, ,, Derya Alabora","1s 50dk
                                        
                                            |
Dram","Namus cinayeti nedeniyle girdiği hapishaneden çıkan Yusuf amaçsız bir hayata sahiptir artık. İzbe bir pansiyon köşesinde yolu Bekir ve Uğur’la kesiştikten sonra hikayedeki tüm kişilerin hayatlarını derdinden sarsan hadiseler yaşanacak, herkes kendi masumiyetinin peşinden gidecek; bu seçimler de hepsinde derin yaralar ...","4,3"
Vatansever,"2s 45dk | | | Aksiyon | , | Dram | , | Tarihi",Yönetmen | Roland Emmerich,"Oyuncular:, Mel Gibson, ,, Heath Ledger, ,, Tchéky Karyo","2s 45dk
                                        
                                            |
Aksiyon,
                                                                                                                                                    
                                                                                Dram,
                                                                                                                                                    
                                                                                Tarihi","Duygusal anlamda yoğun ve hareketli bir film olan Vatansever’in kahramanı, Mel Gibson’un canlandırdığı Benjamin Martin karakteri. Savaşmaya pek de hevesli olmayan bir kahraman Benjamin Martin: Fakat çarpışmalar çiftliğinin sınırına dayanıp da İngilizler Benjamin’in değer verdiği insanları tehdit etmeye başlayınca, ...","4,3"
John Wick: Chapter 3 - Parabellum,2s 12dk | | | Aksiyon,Yönetmen | Chad Stahelski,"Oyuncular:, Keanu Reeves, ,, Ian McShane, ,, Halle Berry","2s 12dk
                                        
                                            |
Aksiyon","John Wick: Chapter 3 - Parabellum, gizli suikastçı birliğinden atılan John Wick'in, kellesi karşılığında ödül almak için peşine düşen suikastçılara karşı verdiği mücadeleyi konu ediyor.","3,3"
"İyilik Bul, İyilik Yap","2s 3dk | | | Dram | , | Romantik",Yönetmen | Mimi Leder,"Oyuncular:, Kevin Spacey, ,, Helen Hunt, ,, Haley Joel Osment","2s 3dk
                                        
                                            |
Dram,
                                                                                                                                                    
                                                                                Romantik",Bir adamın hayatında görmediği bir yabancıya son model bir jaguar hediye etmesi ne anlama gelir? Sorunlu bir aile hayatı olan Trevor isimli genç öğrenci yeni rehberlik öğretmenin verdiği ödevde kurduğu hayali bir dünya gerçek dünyayı da etkisi altına almaya başlamaktadır. Trevor'un idealindeki dünyada çevresinden iyilik ...,"4,3"
İçerideki Adam,"2s 9dk | | | Dedektif | , | Gerilim",Yönetmen | Spike Lee,"Oyuncular:, Denzel Washington, ,, Clive Owen, ,, Chiwetel Ejiofor","2s 9dk
                                        
                                            |
Dedektif,
                                                                                                                                                    
                                                                                Gerilim","Hücrede yatan bir adam, planladığu kusursuz banka soygununu anlatarak, izleyiciyi bu soygunu seyretmeye davet eder. Olaylar zincirinin en başında her şey aslında herhangi bir hırsızlık gibi başlar. Hal böyle olunca boyacı kılığındaki soyguncular, elli kişiyi rehin aldığında polis de gerekenleri yapar. İki dedektifi bu ...","4,3"
Vampirle Görüşme,"2s 3dk | | | Dram | , | Fantastik | , | Korku",Yönetmen | Neil Jordan,"Oyuncular:, Tom Cruise, ,, Brad Pitt, ,, Stephen Rea","2s 3dk
                                        
                                            |
Dram,
                                                                                                                                                    
                                                                                Fantastik,
                                                                                                                                                    
                                                                                Korku","Korku edebiyatının önemli isimlerinden Anne Rice’ın romanından uyarlanan film, karizmatik vampir Lestat ve onun tarafından ısırılarak vampir olan soylu Louis’in maceralarını konu alıyor. Vampirliğe alışamayan Louis, açlığını gidermek için insan öldürememektedir. Bu durumu çözebilmek için Lestat, küçük bir kızı da ...","4,3"
Konuş Onunla,"1s 52dk | | | Komedi | , | Dram | , | Romantik",Yönetmen | Pedro Almodóvar,"Oyuncular:, Javier Cámara, ,, Dario Grandinetti, ,, Leonor Watling","1s 52dk
                                        
                                            |
Komedi,
                                                                                                                                                    
                                                                                Dram,
                                                                                                                                                    
                                                                                Romantik","Almodovar'ın yönetmenliğini yaptığı hemen her filminde mutlaka olmazsa olmazları vardır; bol et gösterisi, -maskülen ya da feminen- her halukarda ""estetik"" bir kalça görüntüsü ve her daim zekice ve hakikatli diyaloglar... ""Konuş Onunla"" da Pedro'nun alameti farikası simgeleri, özgün ve kendine has sinema dilini  başarıyla ...","4,3"
Ben Efsaneyim,1s 40dk | | | Bilim Kurgu,Yönetmen | Francis Lawrence,"Oyuncular:, Will Smith, ,, Alice Braga, ,, Charlie Tahan","1s 40dk
                                        
                                            |
Bilim Kurgu","Robert Neville, korkunç bir virüsün her yere yayılmasına engel olamamış bir bilim adamıdır. New York’ta hayatta kalabilenlerdendir. Daha doğrusu o, tüm üstün deneyim ve bilgilerine rağmen bu virüsün önünü kesememiş ve ancak kendi bedeni söz konusu virüse bağışıklık kazanmıştır. Bu noktada olan aslında tek kişidir. ...","4,3"
Mutluluk,1s 45dk | | | Dram,Yönetmen | Abdullah Oğuz,"Oyuncular:, Talat Bulut, ,, Özgü Namal, ,, Murat Han","1s 45dk
                                        
                                            |
Dram","Meryem, töre adı altında uygulanagelen feodal geriliklerin kurbanlarından birisi olmak üzeredir. Azgelişmiş ailesi, göl kenarında baygın bulunan kızlarını katletmeye karar verir, töre böyle buyurmaktadır! Meryem’in sözde namusu kirlenmiştir ve ailenin inancına göre namus bacakarasında olduğundan öldürülmesi en uygun gelen ...","4,3"
İçgüdü,"2s 5dk | | | Macera | , | Gerilim",Yönetmen | Jon Turteltaub,"Oyuncular:, Anthony Hopkins, ,, Cuba Gooding Jr., ,, Donald Sutherland","2s 5dk
                                        
                                            |
Macera,
                                                                                                                                                    
                                                                                Gerilim",Dr. Theo Calder saygıdeğer bir psikologdur. Uzmanlık alanı ise akıl hastalarıyla kurduğu ilişkidir. Onları çok iyi anlamakta ve onlarla anlaşabilmektedir. Bir gün eski dostu Ethan Powell'ın cinayet nedeniyle yattığı bir Afrika hapishanesinden çıktığını öğrenir. Konu ilgisini çeker zira Ethan birkaç sene önce goriller ile ...,"4,3"
Joe Black,"3s 1dk | | | Dram | , | Fantastik | , | Romantik",Yönetmen | Martin Brest,"Oyuncular:, Brad Pitt, ,, Anthony Hopkins, ,, Claire Forlani","3s 1dk
                                        
                                            |
Dram,
                                                                                                                                                    
                                                                                Fantastik,
                                                                                                                                                    
                                                                                Romantik","William Parrish 60'lı yaşlarında bir çok zengin bir adamdır. Çağının en önemli medya patronlarından bir tanesidir. Parrish'in şirketi geleceğiyle ilgili çok önemli bir kararın kıyısındadır. Verilecek karar şirket için bir dönüm noktası olacaktır. Parrish, bir gün bir anda kafasının içinde tuhaf seslerin ...","4,3"
Örümcek-Adam 2,"2s 7dk | | | Aksiyon | , | Fantastik",Yönetmen | Sam Raimi,"Oyuncular:, Tobey Maguire, ,, Kirsten Dunst, ,, Alfred Molina","2s 7dk
                                        
                                            |
Aksiyon,
                                                                                                                                                    
                                                                                Fantastik","Peter Parker, çifte hayat yaşayıp Örümcek Adam olarak suçlularla savaşmaktan yorgun düşmüş mutsuz bir adamdır. Hayatı inişe geçmiştir. Sevdiği kadın bir başkası ile nişanlanmış, dereceleri yokuş aşağı kayıp gitmekte, hiçbir işi başaramamaktadır. Dahası Daily Bugle gazetesi, Örümcek Adam’ın bir suçlu olduğu ...","4,3"
Prenses Mononoke,"2s 15dk | | | Macera | , | Animasyon | , | Fantastik",Yönetmen | Hayao Miyazaki,"Oyuncular:, Billy Crudup, ,, Billy Bob Thornton, ,, Minnie Driver","2s 15dk
                                        
                                            |
Macera,
                                                                                                                                                    
                                                                                Animasyon,
                                                                                                                                                    
                                                                                Fantastik","Prenses Mononoke, Ashitaka'nın maceralarını anlatıyor. Huzurlu bir şekilde yaşamını devam ettiren Ashitaka, bir gün ormandan gelen bir kötülüğün farkına varır. Orman Tanrısı, tüm tavizsizliğiyle ve sınırsız gücüyle, temas ettiği her varlığı yıkarak yoluna devam etmektedir. Küçük bir kızı kurtarmak için Orman ...","4,3"
Oyuncak Hikayesi 3,"1s 40dk | | | Macera | , | Animasyon | , | Komedi",Yönetmen | Lee Unkrich,"Oyuncular:, Tom Hanks, ,, Tim Allen, ,, Michael Keaton","1s 40dk
                                        
                                            |
Macera,
                                                                                                                                                    
                                                                                Animasyon,
                                                                                                                                                    
                                                                                Komedi","Oyuncak Hikayesi 3 filminde Andy üniversiteye gitmek için evden ayrılmak zorundadır ve uzun zamandır kendileriyle oynanmayan oyuncakları endişe içerisindelerdir. Andy, Woody’i yanında götürmeye karar verir ve Buzz’u da tavan arasında duran bir çöp poşetine, diğer oyuncakların yanına atar. Bir yanlış anlaşılma sonucu ...","4,3"
Ölümcül Deney 3: İnsanlığın Sonu,"1s 30dk | | | Aksiyon | , | Korku | , | Bilim Kurgu",Yönetmen | Russell Mulcahy,"Oyuncular:, Milla Jovovich, ,, Oded Fehr, ,, Ali Larter","1s 30dk
                                        
                                            |
Aksiyon,
                                                                                                                                                    
                                                                                Korku,
                                                                                                                                                    
                                                                                Bilim Kurgu","Bir devam filmi olan Ölümcül Deney 3, serinin son derece aktif bir hikayesi olarak nitelendirilebilir. Yaşanılan yerde güvenlik ortadan kalkınca Carlos Olivera ile L.J hayatta kalan bir takım kişileri toplarlar. Claire, K-Mart ve Betty başta olmak üzere diğer yaşayanlarla birleşirler. Yola koyularak zırhlı konvoylar içinde boş ...","4,3"
Çöküş,"2s 36dk | | | Biyografik | , | Dram | , | Tarihi",Yönetmen | Oliver Hirschbiegel,"Oyuncular:, Bruno Ganz, ,, Alexandra Maria Lara, ,, Rolf Kanies","2s 36dk
                                        
                                            |
Biyografik,
                                                                                                                                                    
                                                                                Dram,
                                                                                                                                                    
                                                                                Tarihi","Çöküş, Adolf Hitler'in son günlerini anlatıyor. Gezegenimizin gördüğü, gelmiş geçmiş en acımasız, zalim, tuhaf ve deli diktatörü Adolf Hitler'in artık son demleridir... 2. Dünya savaşında, dünyanın başına bela olmuş bu çatlak devlet adamını tepelemek için iki kutuplu dünya birleşir. 2. Dünya Savaşı’nın ve Adolf ...","4,3"
Düşler Ülkesi,"1s 41dk | | | Dram | , | Aile | , | Fantastik",Yönetmen | Marc Forster,"Oyuncular:, Johnny Depp, ,, Kate Winslet, ,, Radha Mitchell","1s 41dk
                                        
                                            |
Dram,
                                                                                                                                                    
                                                                                Aile,
                                                                                                                                                    
                                                                                Fantastik","Peter Pan'in yaratıcısı James Barrie?nin gerçek hayat hikayesinden uyarlanan Düşler Ülkesi?nde, ünlü yazarın Olmayan Ülke'nin kapılarını nasıl açtığını izliyoruz.1904 yılının Londra’sında geçen hikayede, ilk olarak, döneminin ötesinde bir nükteye sahip olan Barrie'yi tanıyoruz. Son oyununun galasında, tepkileri ...","4,3"
Taksi Şoförü,"1s 55dk | | | Dedektif | , | Dram | , | Gerilim",Yönetmen | Martin Scorsese,"Oyuncular:, Robert De Niro, ,, Jodie Foster, ,, Harvey Keitel","1s 55dk
                                        
                                            |
Dedektif,
                                                                                                                                                    
                                                                                Dram,
                                                                                                                                                    
                                                                                Gerilim","Taksi Şoförü, Vietnam’da savaşının izlerini henüz atamayan bir askerin, geceleri taksi şoförlüğü yaparak gördüğü kirli ve adaletsiz dünyaya uyum sağlamayı reddetme hikayesini anlatıyor. Film, Robert De Niro’nun canlandırdığı Travis Bickle karakteriyle kültleşmiştir. Taksi şoförü Travis, sosyal hayatındaki ...","4,3"
Gol,2s 0dk | | | Dram,Yönetmen | Danny Cannon,"Oyuncular:, Kuno Becker, ,, Alessandro Nivola, ,, Marcel Iures","2s 0dk
                                        
                                            |
Dram","Film, gerçek bir yeteneğin, koşullar ne olursa olsun illa ki keşfedilebileceği fikrine odaklanıyor. Meksikalı Munez, henüz yaşı çok küçükken ailesi ile birlikte Amerika’ya göç etmiştir. En büyük hayali ise bir futbol yıldızı olmaktır. Ancak ne yazık ki ailesi, bu konuda ona hiç destek vermez. Kader ağlarını örer ve ...","4,3"
Mumya,"2s 5dk | | | Macera | , | Fantastik",Yönetmen | Stephen Sommers,"Oyuncular:, Brendan Fraser, ,, Rachel Weisz, ,, John Hannah","2s 5dk
                                        
                                            |
Macera,
                                                                                                                                                    
                                                                                Fantastik","Mumya, antik bir şehri bulmaya çalışan iki kardeşin hikayesini anlatıyor. Yıl 1923... Amerikalı bir serüvenci olan Rick, bir antik mısır şehrini bulmak isteyen İngilizlerin rehberidir. İki İngiliz kardeşin bir tanesinin tek derdi ulaşmayı hayal ettiği hazinelerken ötekisi bilimsel bir çalışma yapmak üzere bu yolculuğa ...","4,3"
Günlük,"1s 40dk | | | Biyografik | , | Dram",Yönetmen | Scott Kalvert,"Oyuncular:, Leonardo DiCaprio, ,, Lorraine Bracco, ,, Mark Wahlberg","1s 40dk
                                        
                                            |
Biyografik,
                                                                                                                                                    
                                                                                Dram",Jim bir lise öğrencisidir. Kendini tam anlamıyla teslim ettiği hobisi ise basketboldur. Lisesinin basketbol takımının aranan oyuncularından biri olmuştur. Prestijli liglere terfi edip de dünyaca tanınan bir oyuncu haline gelmek tek hayalidir. Kısa bir süre sonra tanışacağı uyuşturucular dünyası ise Jim’in tüm geleceğini ...,"4,3"
Hurricane,"2s 20dk | | | Biyografik | , | Dram | , | Sport event",Yönetmen | Norman Jewison,"Oyuncular:, Denzel Washington, ,, Vicellous Shannon, ,, Deborah Kara Unger","2s 20dk
                                        
                                            |
Biyografik,
                                                                                                                                                    
                                                                                Dram,
                                                                                                                                                    
                                                                                Sport event","Robin 'Hurricane' Carter, bir boks efsanesidir. Büyük bir yükselişin yaşandığı kariyerinde orta siklet dalında ünvanın bir numaralı adayıdır. Bir gün sevdiği bir arkadaşıyla New Jersey'de bir barda vakit geçirirken mekanda üç kişinin hayatını kaybettiği kanlı bir cinayetler silsilesi meydana gelir. Carter, cinayet ...","4,3"
Karanlıklar Ülkesi: Evrim,"1s 46dk | | | Aksiyon | , | Fantastik",Yönetmen | Len Wiseman,"Oyuncular:, Kate Beckinsale, ,, Scott Speedman, ,, Tony Curran","1s 46dk
                                        
                                            |
Aksiyon,
                                                                                                                                                    
                                                                                Fantastik","Geçmişte ve gelecekte, karanlık çağların yaşayan en azılı düşmanları: Vampirler Kurt Adamlara karşı! İşte; Karanlıklar Ülkesi: Evrim, bir kez daha vampirler ve kurt adamlar arasındaki dillere destan savaşların sürdüğü bir atmosferde bol bol kan ve dehşet vadediyor. Selene her ne kadar ilk başta aklındakini hayata ...","4,3"
Çarpışma,"1s 47dk | | | Dram | , | Gerilim",Yönetmen | Paul Haggis,"Oyuncular:, Sandra Bullock, ,, Don Cheadle, ,, Matt Dillon","1s 47dk
                                        
                                            |
Dram,
                                                                                                                                                    
                                                                                Gerilim",Bir ev kadını ve uyuşturucu bağımlısı kocası? Birbirine aşık iki polis dedektifi? Afrika-Amerikalı bir yönetmen ve karısı? Meksikalı bir çilingir? İki araba hırsızı? Orta yaşlı Koreli bir çift ve çaylak bir polis?Los Angeles'ın günlük monotonluğunda birbirinden habersiz yaşayan sıradan insanlar? 36 saat içinde ...,"4,3"
Yarının Sınırında,"1s 53dk | | | Aksiyon | , | Bilim Kurgu",Yönetmen | Doug Liman,"Oyuncular:, Tom Cruise, ,, Emily Blunt, ,, Bill Paxton","1s 53dk
                                        
                                            |
Aksiyon,
                                                                                                                                                    
                                                                                Bilim Kurgu","Yakın gelecekte dünyayı ele geçiren Mimics adlı uzaylı birliği, birçok büyük şehri yok eder ve milyonlarca insanı ölümün eşiğinde bekletir. Dünyada hiçbir ordu, onların hızına, silahlarının gücüne ve de en önemlisi telepati yoluyla emir verme ve uygulama güçlerine ulaşamaz. Artık dünyadaki tüm ordular bu uzaylı ...","4,1"
Soğuk Dağ,"2s 33dk | | | Dram | , | Tarihi",Yönetmen | Anthony Minghella,"Oyuncular:, Jude Law, ,, Nicole Kidman, ,, Renée Zellweger","2s 33dk
                                        
                                            |
Dram,
                                                                                                                                                    
                                                                                Tarihi","Amerikan İç Savaşı bitmiştir ve ardında küllerini bırakmıştır. Savaştan acılarla dönen genç Güneyli bir askerin zihninde yaraların dışında tek bir şey vardır.  O da canından çok sevdiği ve hayaliyle yanıp tutuştuğu Ada... Ada ve Inman, yıllardır birbirine kavuştukları ve tamamen özgür olabildikleri bir hayatın ...","4,3"
5. Element,"2s 6dk | | | Aksiyon | , | Bilim Kurgu",Yönetmen | Luc Besson,"Oyuncular:, Bruce Willis, ,, Milla Jovovich, ,, Gary Oldman","2s 6dk
                                        
                                            |
Aksiyon,
                                                                                                                                                    
                                                                                Bilim Kurgu","2200'lü yılların ortaları... Kötücüllüğün dünyayı yok etmesine karşı yeni önlemler aranmaktadır. Leeloo, bu kötülüğün karşısında dikilecek olan saf yaratıktır. Bu tehlikeye karşı bir çözüm arayan Leeloo, beşinci elementin arayışına düşer. Bunun için kendisine bir taksi şoförü olan Korben Dallas yardım ...","4,3"
Pi'nin Yaşamı,"2s 5dk | | | Macera | , | Dram",Yönetmen | Ang Lee,"Oyuncular:, Suraj Sharma, ,, Irrfan Khan, ,, Adil Hussain","2s 5dk
                                        
                                            |
Macera,
                                                                                                                                                    
                                                                                Dram","Hindistan’dan Kanada’ya giden bir yük gemisi, içindeki hemen hemen tüm canlılarla birlikte trajik şekilde batar. Bir can kurtaran filikası, uçsuz bucaksız vahşi Pasifik Okyanusu'nun ortasında yapayalnız kalır. Sandalın hayatta kalmayı başarabilen mürettebatı ise bir sırtlan, kırık bacaklı bir zebra, bir orangutan, Richard ...","3,9"
John Wick 2,2s 3dk | | | Aksiyon,Yönetmen | Chad Stahelski,"Oyuncular:, Keanu Reeves, ,, Riccardo Scamarcio, ,, Ian McShane","2s 3dk
                                        
                                            |
Aksiyon",Emekliye ayrılmış olan John Wick can yoldaşı köpeğiyle sakin bir hayat sürmektedir. Ancak başına gelen kimi olaylar onu bir kez daha suç dünyasına iter. Bu kez bu uğurda Roma sokaklarını arşınlaması gerekecektir...Başarılı aksiyon filmi John Wick'in devam filmi olacak John Wick'in yönetmen koltuğunda Chad ...,"2,9"
Whiplash,"1s 47dk | | | Dram | , | Müzik",Yönetmen | Damien Chazelle,"Oyuncular:, Miles Teller, ,, J.K. Simmons, ,, Paul Reiser","1s 47dk
                                        
                                            |
Dram,
                                                                                                                                                    
                                                                                Müzik","Whiplash, genç bir müzisyenin öykünü anlatıyor. Küçük yaşlardan itibaren bateri çalmaya başlayan Andrew, işinde tam anlamıyla bir usta olmak ister. Üniversite tercihinde de ülkenin en iyi müzik okulu olarak gördüğü Shcarffer Konservatuarı'na girer. Henüz 19 yaşındadır ama dersler harici var gücüyle antrenman yapar. Bir ...","4,8"
Oyuncak Hikayesi 4,"1s 40dk | | | Macera | , | Animasyon | , | Komedi",Yönetmen | Josh Cooley,"Oyuncular:, Tom Hanks, ,, Tim Allen, ,, Annie Potts","1s 40dk
                                        
                                            |
Macera,
                                                                                                                                                    
                                                                                Animasyon,
                                                                                                                                                    
                                                                                Komedi","Oyuncak Hikayesi 4, kaşıktan yapılma bir oyuncak olan Forky’nin atıldığı macerayı konu ediyor.","3,3"
Yaşamın Renkleri,"1s 54dk | | | Dramatik komedi | , | Fantastik",Yönetmen | Gary Ross,"Oyuncular:, Tobey Maguire, ,, Jeff Daniels, ,, Joan Allen","1s 54dk
                                        
                                            |
Dramatik komedi,
                                                                                                                                                    
                                                                                Fantastik","Pleasantville, siyah-beyaz tonların egemenliğindeki, küçük ve kendine yeten bir kasabadır. Kasabanın insanları müthiş bir ahenk ile birbirlerine bağlıdırlar. Bu kasabada asla kötülük hüküm sürmeyecek gibidir. Ancak ortada bir problem vardır: Pleasantville, bir televizyon dizisinin kurguladığı bir kasabadır. David ise bir ...","4,3"
Çılgın Hırsız,1s 35dk | | | Animasyon,"Yönetmen | Chris Renaud | , | Pierre Coffin","Oyuncular:, Steve Carell, ,, Jason Segel, ,, Russell Brand","1s 35dk
                                        
                                            |
Animasyon","Gru adındaki kafası karışık ve kötü yürekli kişinin en büyük hayali dünyanın uydusu Ay'ı ele geçirmektir. Aslında etrafı barış ve huzurla bezeli, renk renk çiçeklerle çevrili, güleryüzlü komşuluk ilişkilerinin sürdüğü bu varoş semtinde sükuneti bozan tek olgu Gru'nun bu hırslı halidir. Bu banliyöde, bu ...","4,3"
Sahtekar,"2s 21dk | | | Biyografik | , | Dram | , | Gerilim",Yönetmen | Clint Eastwood,"Oyuncular:, Angelina Jolie, ,, John Malkovich, ,, Michael Kelly","2s 21dk
                                        
                                            |
Biyografik,
                                                                                                                                                    
                                                                                Dram,
                                                                                                                                                    
                                                                                Gerilim","Ağırlıklı işçi sınıfından insanların oturduğu varoş mahallelerinden birinde, Los Angeles banliyölerindeyiz. 1928'in mart ayında, telefon operatörü olarak çalışan anne Christine Collins (Oscar ödüllü Angelina Jolie), sakin bir cumartesi sabahında işe gitmek üzere evden ayrılırken dokuz yaşındaki oğlu Walter ile ...","4,3"
Örümcek-Adam,"2s 1dk | | | Aksiyon | , | Fantastik",Yönetmen | Sam Raimi,"Oyuncular:, Tobey Maguire, ,, Willem Dafoe, ,, Kirsten Dunst","2s 1dk
                                        
                                            |
Aksiyon,
                                                                                                                                                    
                                                                                Fantastik","Peter Parker, sosyal hayatında pek de başarılı olamayan bir öğrencidir. Okulda akranları tarafından sürekli olarak hor görülmekte ve aşık olduğu Mary Jane'i sadece hayal edebilmektedir. Bir gün okulun çıkardığı bir gezide üzerinde deneyler yapılan bir örümcek tarafından ısırılır. Peter Parker'ın sıradan hayatı ...","4,3"
